Protein Names	Gene Names	mRNA copy number experiment [molecules/cell]	Protein copy number experiment [molecules/cell]
Glucocorticoid receptor DNA-binding factor 1	Grlf1	23.63	18819.12
Glucosamine	Gne	3.56	5277.41
Glucosamine 6-phosphate N-acetyltransferase	Gnpnat1	6.79	50280.48
Glucosamine-6-phosphate isomerase 1	Gnpda1		17511.58
Glucosamine--fructose-6-phosphate aminotransferase [isomerizing] 1	Gfpt1	12.59	199362.18
Glucose-6-phosphatase 3	G6pc3	3.73	4933.77
Glucose-6-phosphate 1-dehydrogenase X	G6pdx	41.66	965693.89
Glucose-6-phosphate isomerase	Gpi	87.37	2026875.16
Glucosidase 2 subunit beta	Prkcsh	65.63	705147.68
Glucosylceramidase	Gba	33.91	118586.55
Glucuronyl C5-epimerase	Glce	18.08	5228.51
Glutamate dehydrogenase 1, mitochondrial	Glud1	27.95	512359.39
Glutamate--cysteine ligase catalytic subunit	Gclc	18.63	9929.31
Glutamate--cysteine ligase regulatory subunit	Gclm	32.52	439308.17
Glutamate-rich WD repeat-containing protein 1	Grwd1	41.62	203182.79
Glutamine synthetase	Glul	9.29	16255.07
Glutamine-rich protein 1	Qrich1	23.95	10853.4
Glutamyl-prolyl-tRNA synthetase	Eprs		559998.19
Glutaredoxin-1	Glrx	17.06	380685.17
Glutaredoxin-3	Glrx3	21.19	1106032.24
Glutaredoxin-related protein 5	Glrx5	37.04	60285.19
Glutathione peroxidase 1	Gpx1	226.15	436641.02
Glutathione reductase, mitochondrial	Gsr	18.15	191159.19
Glutathione S-transferase A1	Gsta1		33472.8
Glutathione S-transferase A4	Gsta4	26.13	636591.86
Glutathione S-transferase Mu 2	Gstm2	37.06	1293861.26
Glutathione S-transferase Mu 5	Gstm5	21.23	134437.48
Glutathione S-transferase omega-1	Gsto1	127.56	4877194.57
Glutathione S-transferase P 1	Gstp1	363.38	4444041
Glutathione S-transferase, theta 3	Gstt3	15.8	471142.51
Glutathione synthetase	Gss	11.58	76197.17
Glycerol kinase	Gk	3.95	22617.54
Glycerol-3-phosphate acyltransferase 1, mitochondrial	Gpam	3.64	648.78
Glycerol-3-phosphate acyltransferase 3	Agpat9	4.69	7993.29
Glycerol-3-phosphate dehydrogenase [NAD+], cytoplasmic	Gpd1		103655.08
Glycerol-3-phosphate dehydrogenase 1-like protein	Gpd1l		58523.43
Glycerol-3-phosphate dehydrogenase, mitochondrial	Gpd2	14.25	315025.81
Glycerophosphodiester phosphodiesterase 1	Gde1	31.95	129496.12
Glycerophosphodiester phosphodiesterase domain-containing protein 1	Gdpd1	3.62	28755.53
Glycogen [starch] synthase, muscle	Gys1	14.41	20524.24
Glycogen phosphorylase, brain form	Pygb	20.65	197584.29
Glycogen synthase kinase-3 alpha	Gsk3a	30.59	29129.24
Glycogen synthase kinase-3 beta	Gsk3b	6.39	57204.21
Glycolipid transfer protein	Gltp	27.87	105872.84
Glycolipid transfer protein domain-containing protein 1	Gltpd1		5620.02
Glycosyltransferase 25 family member 1	Glt25d1	37.53	132625.21
Glycosyltransferase 8 domain-containing protein 1	Glt8d1	6.25	1415.95
Glycylpeptide N-tetradecanoyltransferase 1	Nmt1	65.5	386635.77
Glycylpeptide N-tetradecanoyltransferase 2	Nmt2	19.56	35622.61
Glycyl-tRNA synthetase	Gars	138.16	993227.92
Glyoxalase domain-containing protein 4	Glod4	5.35	127512.38
Glyoxylate reductase/hydroxypyruvate reductase	Grhpr	9.93	318400.82
Glypican-1	Gpc1	135.88	147813.42
Glypican-4	Gpc4	31.54	122721.88
GMP reductase 2	Gmpr2	7.25	25931.54
GMP synthase [glutamine-hydrolyzing]	Gmps	29.36	853229.5
Golgb1 protein	Golgb1	4.42	30559.05
Golgi apparatus protein 1	Glg1	19.64	50619.18
Golgi autoantigen, golgin subfamily a	Golga2	8.51	12299.41
Golgi integral membrane protein 4	Golim4	21.65	21658.65
Golgi membrane protein 1	Golm1	12.16	31902.15
Golgi phosphoprotein 3	Golph3	36.37	97011.79
Golgi phosphoprotein 3-like	Golph3l	4.79	5991.74
Golgi reassembly-stacking protein 2	Gorasp2	43.87	119891.84
Golgi resident protein GCP60	Acbd3	10.14	60482.76
Golgi SNAP receptor complex member 1	Gosr1	10.06	129606.54
Golgi SNAP receptor complex member 2	Gosr2	26.02	161238.82
Golgi-associated PDZ and coiled-coil motif-containing protein	Gopc	3.31	1894.42
Golgi-associated plant pathogenesis-related protein 1	Glipr2	21.11	283280.93
Golgin subfamily A member 1	Golga1	4.43	2012.6
Golgin subfamily A member 3	Golga3	9.46	31197.01
Golgin subfamily A member 4	Golga4		339.02
Golgin subfamily A member 7	Golga7	19.3	22329.36
Gphn protein	Gphn	5.35	12274.17
GPI transamidase component PIG-S	Pigs	22.96	35936.91
GPI transamidase component PIG-T	Pigt	18.01	12427.48
GPN-loop GTPase 1	Gpn1	23.39	12322.53
GPN-loop GTPase 3	Gpn3	24.43	19705.35
G-protein signalling modulator 1 (AGS3-like C. elegans)	Gpsm1	3.97	3454.12
Gpsn2 protein	Gpsn2	30.79	44817.45
GRAM domain-containing protein 4	Gramd4		9492
G-rich sequence factor 1	Grsf1	27.31	53368.63
GRIP and coiled-coil domain-containing protein 1	Gcc1	3.43	4794.28
GRIP and coiled-coil domain-containing protein 2	Gcc2	2.9	3581.75
Group XIIA secretory phospholipase A2	Pla2g12a	23.83	18416.97
Growth arrest and DNA-damage-inducible proteins-interacting protein 1	Gadd45gip1	16.9	143219.52
Growth factor receptor-bound protein 2	Grb2	29.59	553905.62
GrpE protein homolog 1, mitochondrial	Grpel1	18	999657.31
GTPase KRas	Kras		48048.96
GTPase NRas	Nras	23.97	352591.04
GTPase-activating protein and VPS9 domain-containing protein 1	Gapvd1	12.1	68254.47
GTP-binding nuclear protein Ran	Ran	215.59	15210122.11
GTP-binding protein 1	Gtpbp1	33.14	125668.39
GTP-binding protein Rheb	Rheb	31.92	441298.34
GTP-binding protein SAR1a	Sar1a		83341.11
GTP-binding protein SAR1b	Sar1b	21.6	147945.15
Guanidinoacetate N-methyltransferase	Gamt	7.13	14865.86
Guanine nucleotide binding protein-like 2 (Nucleolar)	Gnl2	29.48	39828.77
Guanine nucleotide exchange factor MSS4	Rabif	11.98	69094.32
Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-10	Gng10	41.88	4237.62
Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12	Gng12	35.77	554460.33
Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	Gng2		5709.7
Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5	Gng5	73.39	20307.76
Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7	Gng7	2.74	55756.94
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	Gnb1		1925933.38
Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-2	Gnb2	138.89	422125.78
Guanine nucleotide-binding protein G(k) subunit alpha	Gnai3	48.45	211470.37
Guanine nucleotide-binding protein G(o) subunit alpha	Gnao1	2.67	7958.9
Guanine nucleotide-binding protein G(q) subunit alpha	Gnaq	7.3	130795.16
Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas	Gnas	98.65	105841.16
Guanine nucleotide-binding protein subunit alpha-11	Gna11	31.28	160451.08
Guanine nucleotide-binding protein subunit alpha-12	Gna12	28.71	1670.56
Guanine nucleotide-binding protein subunit alpha-13	Gna13	12.61	49002.27
Guanine nucleotide-binding protein subunit beta-2-like 1	Gnb2l1	852.73	3986782.63
Guanine nucleotide-binding protein subunit beta-4	Gnb4	20.56	31781.55
Guanine nucleotide-binding protein-like 1	Gnl1	27.15	29687.47
Guanine nucleotide-binding protein-like 3	Gnl3	41.7	364099.32
Guanylate-binding protein 4	Gbp4	2.77	7040.28
H/ACA ribonucleoprotein complex non-core subunit NAF1	Naf1	8.45	14136.17
H/ACA ribonucleoprotein complex subunit 1	Gar1	51.55	636356.67
H/ACA ribonucleoprotein complex subunit 2	Nhp2	99.11	666887.5
H/ACA ribonucleoprotein complex subunit 3	Nop10	55.21	124180.13
H/ACA ribonucleoprotein complex subunit 4	Dkc1	51.68	449122.85
H-2 class I histocompatibility antigen, K-W28 alpha chain	H2-K1		139255.27
H-2 class II histocompatibility antigen gamma chain	Cd74	31.45	3372.46
H2-D1 protein	H2-Q2	176.42	381655.98
Haloacid dehalogenase-like hydrolase domain-containing protein 2	Hdhd2	4.92	58749.23
Haloacid dehalogenase-like hydrolase domain-containing protein 3	Hdhd3	4.03	61317.48
Hamartin	Tsc1	3.78	542.41
HAUS augmin-like complex subunit 1	Haus1	7.47	10189.49
HAUS augmin-like complex subunit 2	Haus2	7.19	12606.16
HAUS augmin-like complex subunit 3	Haus3	15.05	5088.3
HAUS augmin-like complex subunit 4	Haus4	6.92	14851.77
HAUS augmin-like complex subunit 5	Haus5	6.79	12095
HCLS1-associated protein X-1	Hax1	53.65	41439.68
HCLS1-binding protein 3	Hs1bp3	5.41	40350.91
Hcp beta-lactamase-like protein C1orf163 homolog		3.38	80961.1
HD domain-containing protein 2	Hddc2	15.13	35884.49
HD domain-containing protein 3	Hddc3		2494.56
HEAT repeat containing 2	Heatr2	8.87	14051.95
HEAT repeat-containing protein 3	Heatr3	18.93	144364.74
HEAT repeat-containing protein 5A	Heatr5a	9.9	9826.83
HEAT repeat-containing protein 5B	Heatr5b	5.58	7519.04
HEAT repeat-containing protein 6	Heatr6	7.49	8946.71
Heat shock 70 kDa protein 12B	Hspa12b	5.78	7279.79
Heat shock 70 kDa protein 13	Hspa13	8.78	24566.34
Heat shock 70 kDa protein 14	Hspa14	29.08	178138.21
Heat shock 70 kDa protein 4	Hspa4	46.16	492653.59
Heat shock 70 kDa protein 4L	Hspa4l	29.94	222657.66
Heat shock cognate 71 kDa protein	Hspa8		20270977.55
Heat shock protein 105 kDa	Hsph1		895181.61
Heat shock protein 70-2	Hspa2	1.42	24899.02
Heat shock protein 75 kDa, mitochondrial	Trap1	28.68	170635.6
Heat shock protein 84b	Hsp90ab1	938.35	13475558.69
Heat shock protein beta-11	Hspb11	4.58	18428.56
Heat shock protein beta-8	Hspb8	36.83	133704.27
Heat shock protein HSP 90-alpha	Hsp90aa1	296.75	3681752.83
Heat shock protein HSP 90-beta	Hsp90ab1		24697.9
Hectd1 protein	Hectd1	14.63	15549.54
Helicase-like transcription factor	Hltf	3.74	190.35
Hematological and neurological expressed 1 protein	Hn1	122.51	72881.32
Hematological and neurological expressed 1-like protein	Hn1l	29.98	139429.4
Hematopoietic progenitor cell antigen CD34	Cd34		267284.74
Heme oxygenase 1	Hmox1	26.22	485472.35
Heme oxygenase 2	Hmox2	21.35	386257.78
Heparan sulfate 2-O-sulfotransferase 1	Hs2st1	15.93	68926.03
Hepatitis B virus X-interacting protein homolog	Hbxip	31.2	67636.93
Hepatocyte growth factor receptor	Met	8.38	802.81
Hepatocyte growth factor-regulated tyrosine kinase substrate	Hgs		63068.09
Hepatoma-derived growth factor	Hdgf	139.74	700300.71
Hepatoma-derived growth factor-related protein 2	Hdgfrp2	23.47	11093.9
Hepatoma-derived growth factor-related protein 3	Hdgfrp3	9.61	92104.23
Herc1 protein	Herc1	4.65	3568.45
Heterochromatin protein 1-binding protein 3	Hp1bp3	30.18	254903.3
Heterogeneous nuclear ribonucleoprotein A/B	Hnrnpab	193.4	6079643.09
Heterogeneous nuclear ribonucleoprotein A1	Hnrnpa1		17830731.75
Heterogeneous nuclear ribonucleoprotein A3	Hnrnpa3		1249632.34
Heterogeneous nuclear ribonucleoprotein A3	Hnrnpa3		9862749.85
Heterogeneous nuclear ribonucleoprotein D0	Hnrnpd	22.63	3103694.51
Heterogeneous nuclear ribonucleoprotein F	Hnrnpf	57.48	1731375.59
Heterogeneous nuclear ribonucleoprotein G	Rbmx	15.18	6469.17
Heterogeneous nuclear ribonucleoprotein H1	Hnrnph1	124.68	2417037.55
Heterogeneous nuclear ribonucleoprotein H2	Hnrnph2	44.32	143898.14
Heterogeneous nuclear ribonucleoprotein K	Hnrnpk	223.61	5435126.87
Heterogeneous nuclear ribonucleoprotein L-like	Hnrpll	23.82	174420.51
Heterogeneous nuclear ribonucleoprotein M	Hnrnpm	110.33	1422302.23
Heterogeneous nuclear ribonucleoprotein Q	Syncrip	38.39	1076223.56
Heterogeneous nuclear ribonucleoprotein U-like protein 1	Hnrnpul1	49.68	25713.33
Heterogeneous nuclear ribonucleoprotein U-like protein 2	Hnrnpul2		75044.9
Heterogeneous nuclear ribonucleoproteins A2/B1	Hnrnpa2b1	114.85	103929.85
Heterogeneous nuclear ribonucleoproteins C1/C2	Hnrnpc		2666754.31
Hexokinase-2	Hk2	12.65	127002.36
Hexose-6-phosphate dehydrogenase (Glucose 1-dehydrogenase)	H6pd	11.78	31778.2
HIG1 domain family member 2A	Higd2a	24.58	27963.87
High affinity cationic amino acid transporter 1	Slc7a1		14416.2
High mobility group nucleosomal binding domain 2	Hmgn2		68475.5
High mobility group protein 20A	Hmg20a	4.88	60877.5
High mobility group protein B1	Hmgb1		10182175.5
High mobility group protein B2	Hmgb2	3.88	3108945.17
High mobility group protein B3	Hmgb3	13.23	330022.81
High mobility group protein HMG-I/HMG-Y	Hmga1		461551.62
High mobility group protein HMG-I/HMG-Y	Hmga1	259.66	464620.18
Hippocalcin-like protein 1	Hpcal1	20.35	363370.75
HIRA-interacting protein 3	Hirip3	12.98	991.23
Histidine triad nucleotide-binding protein 1	Hint1	283.86	3196722.68
Histidine triad nucleotide-binding protein 2	Hint2	4.27	114591.76
Histidyl-tRNA synthetase, cytoplasmic	Hars	55.77	477768.52
Histone acetyltransferase MYST2	Myst2	32.39	40171.04
Histone acetyltransferase type B catalytic subunit	Hat1	41.43	431102.37
Histone chaperone ASF1A	Asf1a	5.57	15865.57
Histone chaperone ASF1B	Asf1b	22.77	185906.24
Histone deacetylase 1	Hdac1	8.49	513910.15
Histone deacetylase 2	Hdac2	28.72	30771.22
Histone deacetylase 3	Hdac3	25.62	2087.74
Histone deacetylase 4	Hdac4	5.34	2101.63
Histone deacetylase 6	Hdac6	5.52	4546.42
Histone deacetylase 7	Hdac7		5889.31
Histone deacetylase complex subunit SAP130	Sap130	9.76	2934.63
Histone deacetylase complex subunit SAP18	Sap18		371168.78
Histone deacetylase complex subunit SAP30	Sap30	7.95	23221.22
Histone H1.0	H1f0	27.08	1414825.94
Histone H1.1	Hist1h1a		6540084.24
Histone H1.2	Hist1h1c	3.88	24315177.05
Histone H1.3	Hist1h1d		1854954.95
Histone H1.4	Hist1h1e		2356702.98
Histone H1.5	Hist1h1b		10312786.08
Histone H2A type 1-F	Hist1h2af		131700905.3
Histone H2A type 2-A	Hist2h2aa1		3796239.66
Histone H2A type 2-B	Hist2h2ab		285294.7
Histone H2A.V	H2afv	12.25	15935062.05
Histone H2A.x	H2afx	10.25	3972858.05
Histone H2B type 1-A	Hist1h2ba		24894.94
Histone H2B type 2-B	Hist2h2bb		94278247.13
Histone H3.1	Hist1h3a		2909778.69
Histone H3.2	Hist1h3b		69486885.19
Histone H4	Hist1h4a		103741785.3
Histone-arginine methyltransferase CARM1	Carm1	39.37	39197.86
Histone-binding protein RBBP7	Rbbp7	123	1452976.04
Histone-lysine N-methyltransferase EZH2	Ezh2	34.43	1317.96
Histone-lysine N-methyltransferase HRX	Mll	6.91	60.58
Histone-lysine N-methyltransferase SETD7	Setd7	15.29	43003.35
Histone-lysine N-methyltransferase SETDB1	Setdb1	22.03	6129.01
Histone-lysine N-methyltransferase, H3 lysine-9 specific 3	Ehmt2	33.92	10624.17
HIV Tat-specific factor 1 homolog	Htatsf1	9.66	11431.01
Hmga2 protein	Hmga2	63.09	159694.1
Hnrpu protein	Hnrnpu	146.73	2122044.55
Homeobox protein cut-like 1	Cux1	6.4	6202.34
Homer protein homolog 3	Homer3	19.7	8548.05
Host cell factor	Hcfc1	39.91	110789.55
Hras1 protein	Hras1		16835.37
Hsc70-interacting protein	St13	124.43	1969972.74
Hsp70-binding protein 1	Hspbp1	24.3	164865.65
Hsp90 co-chaperone Cdc37	Cdc37	74.57	815434.59
HSPB1-associated protein 1	Hspbap1	2.32	28908.08
Huntingtin	Htt	7.17	4926.94
Huntingtin-interacting protein 1	Hip1	9.83	17805.17
Huntingtin-interacting protein K	Hypk	66.9	297912.28
Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial	Hadh	29.99	837403.82
Hydroxyacylglutathione hydrolase	Hagh	14.97	87133.18
Hydroxymethylglutaryl-CoA synthase, cytoplasmic	Hmgcs1		124094.13
Hypoxanthine-guanine phosphoribosyltransferase	Hprt1	59.65	1984937.29
Hypoxia up-regulated protein 1	Hyou1	46.97	669748.32
Ibtk protein	Ibtk	6.86	1811.71
Immature colon carcinoma transcript 1 protein	Ict1	31.95	52872.03
Immunity-related GTPase family M protein	Irgm	7.96	104515.01
Immunity-related GTPase family Q protein	Irgq	3.12	8812.56
Immunoglobulin-binding protein 1	Igbp1	16.94	64491.86
Importin subunit alpha-1	Kpna1	11.01	37512.75
Importin subunit alpha-2	Kpna2		1304787.72
Importin subunit alpha-3	Kpna3	21.58	301430.21
Importin subunit alpha-4	Kpna4	29.29	431353.77
Importin subunit alpha-7	Kpna6	11.92	136329.33
Importin-11	Ipo11		71479.8
Importin-4	Ipo4	23.24	38083.13
Importin-5	Ipo5		380693.89
Importin-7	Ipo7	69.43	406874.11
Importin-8	Ipo8		921.63
Importin-9	Ipo9	30.08	233738.83
Influenza virus NS1A-binding protein homolog	Ivns1abp	40.87	2929.24
Inhibitor of DNA binding 1	Id1	53.42	8031.97
Inhibitor of growth protein 5	Ing5	7.09	62443.38
Inhibitor of nuclear factor kappa-B kinase subunit alpha	Chuk	13.36	4213.15
Inner centromere protein	Incenp	43.03	11998.64
Inner nuclear membrane protein Man1	Lemd3	3.75	8198.83
Inorganic pyrophosphatase	Ppa1	144.01	2223138.86
Inorganic pyrophosphatase 2, mitochondrial	Ppa2	20.16	86008.29
Inosine triphosphate pyrophosphatase	Itpa	27.14	844873.56
Inosine-5'-monophosphate dehydrogenase 1	Impdh1	29.58	251654.18
Inosine-5'-monophosphate dehydrogenase 2	Impdh2		1996584.89
Inositol 1,4,5-trisphosphate receptor type 1	Itpr1	4.31	92.32
Inositol 1,4,5-trisphosphate receptor type 2	Itpr2		8597.45
Inositol 1,4,5-trisphosphate receptor type 3	Itpr3	21	8527.34
Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase 2	Hisppd1	8.86	1020.22
Inositol monophosphatase 2	Impa2	5.87	19154.48
Inositol monophosphatase 3	Impad1	18.34	31749.27
Inositol polyphosphate 1-phosphatase	Inpp1	2.92	27444.07
Inositol-3-phosphate synthase 1	Isyna1	20.8	97369.24
Insulin degrading enzyme	Ide	13.1	78832.55
Insulin receptor substrate 2	Irs2	12.14	3530.74
Insulin-like growth factor 2 mRNA-binding protein 1	Igf2bp1	13.53	408856.47
Insulin-like growth factor 2 mRNA-binding protein 2	Igf2bp2	13.37	119282.59
Insulin-like growth factor 2 mRNA-binding protein 3	Igf2bp3	13.34	454990.98
Insulin-like growth factor-binding protein 7	Igfbp7	97.95	8353.9
Integral membrane protein GPR177	Gpr177		5027.11
Integrator complex subunit 1	Ints1	26.03	8557.35
Integrator complex subunit 10	Ints10	9.85	1858.01
Integrator complex subunit 11	Cpsf3l		9055.51
Integrator complex subunit 12	Ints12	6.63	15461.57
Integrator complex subunit 2	Ints2	8.37	1797.06
Integrator complex subunit 3	Ints3	18.09	32553.53
Integrator complex subunit 4	Ints4	13.33	1824.97
Integrator complex subunit 5	Ints5	20.16	8185.43
Integrator complex subunit 6	Ints6	2.38	2624.4
Integrator complex subunit 7	Ints7		13691.86
Integrator complex subunit 8	Ints8	8.17	1853.71
Integrin alpha-11	Itga11	36.67	16716.17
Integrin alpha-3	Itga3	86.05	167073.05
Integrin alpha-V	Itgav	19.46	16321.05
Integrin beta-1	Itgb1		226469.64
Integrin beta-5	Itgb5	49.47	11873.98
Integrin beta-7	Itgb7		2833.29
Integrin-linked kinase-associated serine/threonine phosphatase 2C	Ilkap	25.62	79235.25
Integrin-linked protein kinase	Ilk	66.05	160715.16
Interferon regulatory factor 2-binding protein 1	Irf2bp1	9.51	16525.57
Interferon-activable protein 202	Ifi202	11.6	2703.16
Interferon-activable protein 204	Ifi204	7	11070.06
Interferon-induced 35 kDa protein homolog	Ifi35	13.57	97757.43
Interferon-induced guanylate-binding protein 2	Gbp2	8.73	150082.33
Interferon-induced protein with tetratricopeptide repeats 1	Ifit1	1.7	2543.64
Interferon-induced, double-stranded RNA-activated protein kinase	Eif2ak2	6.23	44366.85
Interferon-inducible double stranded RNA-dependent protein kinase activator A	Prkra	6.51	66342.07
Interferon-inducible GTPase 1	Iigp1		15579.58
Interferon-related developmental regulator 1	Ifrd1	71.38	44754.27
Interferon-stimulated 20 kDa exonuclease-like 2	Isg20l2	20.77	16177.35
Interferon-stimulated gene 20 kDa protein	Isg20	19.33	69243.39
Interleukin enhancer-binding factor 2	Ilf2	43.99	1140707.61
Interleukin enhancer-binding factor 3	Ilf3	24.22	263001.7
Interleukin-6 receptor subunit beta	Il6st		2444.44
Intersectin-1	Itsn1	1.67	2431.9
Intraflagellar transport protein 20 homolog	Ift20	24.2	32022.59
Intron-binding protein aquarius	Aqr	14.25	73230.31
Inverted formin-2	Inf2	35.14	130062.51
IQ calmodulin-binding motif-containing protein 1	Iqcb1	5.4	1747.31
IQ motif and SEC7 domain-containing protein 1	Iqsec1	6.81	492.69
IQ motif containing GTPase activating protein 3	Iqgap3	15.21	20871.78
IRFD2	Ifrd2	37.33	30848.33
Iron-sulfur cluster assembly 1 homolog, mitochondrial	Isca1	14.93	62225.75
Iron-sulfur cluster assembly 2 homolog, mitochondrial	Isca2	6.54	5762.7
Iron-sulfur cluster assembly enzyme ISCU, mitochondrial	Iscu	27.88	16524.57
Isoamyl acetate-hydrolyzing esterase 1 homolog	Iah1	7.75	3964.64
Isobutyryl-CoA dehydrogenase, mitochondrial	Acad8	4.07	9903.74
Isochorismatase domain-containing protein 1	Isoc1	7.85	61434.93
Isochorismatase domain-containing protein 2A, mitochondrial	Isoc2a	4.13	112200.51
Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	Idh3a	29.04	1026162.81
Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial	Idh3g	68.01	548779.21
Isocitrate dehydrogenase [NADP], mitochondrial	Idh2	91.51	2097727.16
Isocitrate dehydrogenase 3 (NAD+) beta	Idh3b	61.98	519869.79
Isoleucyl-tRNA synthetase, mitochondrial	Iars2		16978.64
Isopentenyl-diphosphate Delta-isomerase 1	Idi1		210804.69
Isovaleryl-CoA dehydrogenase, mitochondrial	Ivd	9.46	171006.8
IST1 homolog	Ist1	13.25	35840.2
JRAB	Micall2	11.55	20885.76
Junction plakoglobin	Jup	21.91	11383.4
Junction-mediating and -regulatory protein	Jmy	3.85	1242.68
